id,organization_id,entity_type,entity_name,entity_code,entity_description,parent_entity_id,smart_code,smart_code_status,ai_confidence,ai_classification,ai_insights,business_rules,metadata,tags,status,created_at,updated_at,created_by,updated_by,version
1a3eb9ed-91b1-47c0-9513-36f9586a67a9,378f24fb-d496-4ff7-8afa-ea34895a0eb8,workflow_status,Active,STATUS-ACTIVE,,,HERA.ACCOUNTING.WORKFLOW.STATUS.v2,DRAFT,0.0000,,{},{},{},,active,2025-10-09 16:54:43.17415+00,2025-10-09 16:54:43.17415+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
87a86061-a40f-4afe-8ae1-53483a851a98,378f24fb-d496-4ff7-8afa-ea34895a0eb8,service,Hair Cut & Style,SVC-HAIRCUT-001,,,HERA.ACCOUNTING.SERVICE.ENTITY.v2,DRAFT,0.0000,,{},{},"{""price"": 85.00, ""category"": ""hair_services"", ""duration_minutes"": 60}",,active,2025-10-09 17:41:27.509876+00,2025-10-09 17:41:27.509876+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
c676de99-7a9a-4628-bdb0-4e1273513d85,378f24fb-d496-4ff7-8afa-ea34895a0eb8,financial_policy,Final Test Policy,POL-1760015462.070584,,,HERA.ACCOUNTING.POLICY.ENTITY.v2,DRAFT,0.0000,,{},{},"{""status"": ""active"", ""priority"": 100, ""created_by"": null, ""policy_type"": ""AMOUNT_VALIDATION""}",,active,2025-10-09 13:11:02.070584+00,2025-10-09 13:11:02.070584+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
9adbb7f8-ae86-4d29-8816-d903c6265438,378f24fb-d496-4ff7-8afa-ea34895a0eb8,financial_policy,Test Execution Policy,POL-1760015462.156843,,,HERA.ACCOUNTING.POLICY.ENTITY.v2,DRAFT,0.0000,,{},{},"{""status"": ""active"", ""priority"": 200, ""created_by"": null, ""policy_type"": ""AMOUNT_VALIDATION""}",,active,2025-10-09 13:11:02.156843+00,2025-10-09 13:11:02.156843+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
221e4ea2-d52b-4574-af25-e0524d06eb81,378f24fb-d496-4ff7-8afa-ea34895a0eb8,financial_policy,Final Test Policy,POL-1760015524.876522,,,HERA.ACCOUNTING.POLICY.ENTITY.v2,DRAFT,0.0000,,{},{},"{""status"": ""active"", ""priority"": 100, ""created_by"": null, ""policy_type"": ""AMOUNT_VALIDATION""}",,active,2025-10-09 13:12:04.876522+00,2025-10-09 13:12:04.876522+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
2368a812-3301-490d-a3c9-c6c3a132c50a,378f24fb-d496-4ff7-8afa-ea34895a0eb8,financial_policy,Test Execution Policy,POL-1760015524.967636,,,HERA.ACCOUNTING.POLICY.ENTITY.v2,DRAFT,0.0000,,{},{},"{""status"": ""active"", ""priority"": 200, ""created_by"": null, ""policy_type"": ""AMOUNT_VALIDATION""}",,active,2025-10-09 13:12:04.967636+00,2025-10-09 13:12:04.967636+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
e87ecdd3-a3fa-4347-b4c4-c4b18d1fb3dc,378f24fb-d496-4ff7-8afa-ea34895a0eb8,role,Administrator,ROLE-ADMIN,,,HERA.AUTH.ROLE.DEFINITION.v1,DRAFT,0.0000,,{},{},"{""description"": ""Default Administrator role"", ""permissions"": [""entities:*"", ""transactions:*"", ""reports:*""], ""system_role"": true}",,active,2025-10-09 14:57:10.609076+00,2025-10-09 14:57:10.609076+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
9bd2bde9-dd66-4419-b9cb-88bb02e8e344,378f24fb-d496-4ff7-8afa-ea34895a0eb8,role,Manager,ROLE-MANAGER,,,HERA.AUTH.ROLE.DEFINITION.v1,DRAFT,0.0000,,{},{},"{""description"": ""Default Manager role"", ""permissions"": [""entities:read"", ""entities:write"", ""transactions:read"", ""reports:read""], ""system_role"": true}",,active,2025-10-09 14:57:10.740938+00,2025-10-09 14:57:10.740938+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
aa04f2df-0546-43be-8cd7-21ad6bf9105f,378f24fb-d496-4ff7-8afa-ea34895a0eb8,role,User,ROLE-USER,,,HERA.AUTH.ROLE.DEFINITION.v1,DRAFT,0.0000,,{},{},"{""description"": ""Default User role"", ""permissions"": [""entities:read"", ""transactions:read""], ""system_role"": true}",,active,2025-10-09 14:57:10.882545+00,2025-10-09 14:57:10.882545+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
b856dd46-6562-4e69-adb0-af652a2a9824,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ROLE,OWNER,ROLE-OWNER,,,HERA.GENERIC.IDENTITY.ENTITY.PERSON.v1,DRAFT,0.0000,,"{""locale"": ""en-GB"", ""industry"": ""GENERIC"", ""norm_label"": ""owner"", ""decision_confidence"": 0.00}",{},"{""description"": ""Default Owner role"", ""permissions"": [""*""], ""system_role"": true}",,active,2025-10-09 14:57:10.466653+00,2025-10-09 16:09:11.099934+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,2
